takeoff_name,telegram_group_name,telegram_group_link,exclude,notes,site_guide,elevation,takeoff_lon,takeoff_lat
Dungavel,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,434.2,-3.68532,55.55825
Dunstable,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,NA,NA,https://dunstablehpc.com/site-guides/dunstable-downs-site-guide/,211.29,-0.53799,51.869975
East Hill,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,71.91,-2.603665,53.081195
East Lomond,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,435.8,-3.221405,56.2422
Ebbw Vale,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,458.56,-3.20664,51.7524
Ecton,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,349.28,-1.8514,53.11943
Edenfield,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/edenfield/,378.89,-2.27196,53.65658
Edge Top,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,400.95,-1.9191,53.18847
Elan Valley,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,Members Only,449.57,-3.60265,52.33142
Elidir Fach,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,https://www.snowdoniaskysports.co.uk/cms/node/8,694.41,-4.09171,53.13093
Ellerside,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ELS,143.61,-2.99003,54.21653
Ennerdale,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,322.45,-3.3957,54.52008
Eyam,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/eyam-edge,379.36,-1.69618,53.29617
Eype,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,59.3,-2.77895,50.71583
Fairsnape,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/parlick/,494.43,-2.62577,53.91597
Fan Brycheiniog,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,711.26,-3.70435,51.87991
Fan Frynych,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,576.33,-3.510595,51.89755
Fan Gyhirych,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,698.09,-3.62795,51.85895
Farleton,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=FKT,217.3,-2.70955,54.21823
Fast Heugh,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,http://www.wingbeat-paragliding.co.uk/index.php/sites/fastheugh,374.8,-2.95538,55.54987
Feshiebridge,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,876.81,-3.84713,57.09047
Ffarmers,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,359.04,-3.97267,52.1126
Fforest Fields,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,https://paraglidingwales.co.uk/fforest-farm/,379.94,-3.33028,52.16525
Firle,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,145.46,0.081015,50.83497
Fochriw,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,450.07,-3.306415,51.73535
Foel Fadian,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,https://paraglidingwales.co.uk/general-information/foel/,540.75,-3.730015,52.543825
Foreman Hill,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,335.22,-2.716795,57.500895
Freathy,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,61.83,-4.24835,50.344935
Fremington,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/fremington-edge,405.59,-1.92925,54.39755
Friar Waddon,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,114.84,-2.50895,50.66747
Frocester,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,220.61,-2.29993,51.70922
Fuar Mhonadh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,862.19,-4.21438,56.85597
Gallt Yr Ogof,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,456.46,-3.95147,53.10545
Gam Rhiw,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,TRUE,NA,Closed by National Trust,536.06,-3.52982,52.24465
Gargunnock Hills,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,291.84,-4.16061,56.09398
Garret,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,500.6,-4.09969,53.130375
Garway,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,351.44,-2.822335,51.920355
Glen Clova,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,288.8,-3.02755,56.823025
Glen Ogle,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,566.45,-4.32393,56.42518
Glencoe,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,723.21,-4.84147,56.62842
Glenfinna,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,325.5,-5.450175,56.88111
Glyder,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,https://www.snowdoniaskysports.co.uk/cms/node/11,499.54,-3.997325,53.092355
Golden Ball,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/golden-ball,250.44,-1.82039,51.37275
Gorllwyn,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,290.54,-4.13307,52.95441
Gragareth,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,NA,596.27,-2.47841,54.20421
Graig Fawr,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,236.61,-3.99029,51.75305
Great Coum,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,660.44,-2.45715,54.24703
Great Whernside,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/great-whernside,630.19,-2.00633,54.17188
Green How,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,497.81,-3.246415,54.44812
Greenhill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,446.74,-3.700225,55.58776
Grey Mares Tail,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,668.83,-3.32182,55.41957
Grey Scars,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,392.46,-2.41602,54.141255
Gyrn Moelfre,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,411.08,-3.20795,52.85125
Haig,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=HGP,-1.41,-3.599365,54.549675
Hambledon,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,176.06,-2.22205,50.914615
Haresfield,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,206.14,-2.25599,51.7793
Harting,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,http://skysurfingclub.co.uk/sites-guide/,206.69,-0.87007,50.95948
Haughmond Hill,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,129.98,-2.687735,52.719635
Hawkswick,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,373.19,-2.05297,54.12898
Hay Bluff,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,https://www.flysouthwales.co.uk/site-guides,652.58,-3.103875,52.02262
Heol Senni,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,528.27,-3.58188,51.8892
Herne Bay,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://www.dfhgc.org/sites/herne-bay,31.88,1.175235,51.375045
Heron Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,592.56,-2.99615,54.46479
High And Over,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://www.shgc.org.uk/highandover,77.02,0.14232,50.79118
High Cap,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,516.52,-2.526485,54.70132
High Street,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,800.07,-2.862045,54.493725
High Wheeldon,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,361.98,-1.850865,53.190085
Rhossili,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,108.04,-4.2844218,51.5746054
Hill Farm,East,https://t.me/joinchat/1oNELt0BqesxNjJk,NA,NA,NA,70.54,0.81357,52.69155
Hill Of Noth,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,387.39,-2.816895,57.35942
Hogden Law,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,453.67,-2.07423,55.407675
Horden,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,42.66,-1.29924,54.76379
Hordon,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,0.51,-1.311755,54.791255
Hownam,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,369.02,-2.329,55.48852
Huish,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,224.02,-1.78157,51.37337
Humbleton Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,268.6,-2.05217,55.54903
Ill Bell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,195.57,-2.944195,54.494695
Ingleborough,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,603.05,-2.38332,54.17053
Jenkin,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=JKH,588.75,-3.120965,54.63073
Johnny Barnes,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,326.92,-2.55285,54.231355
Kerloch,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,505.15,-2.503035,56.98236
Kettle Sings,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.joomla.malvern-hang.org.uk/index.php/pinnacle-meniu,327.8,-2.33928,52.0769
Kilnsey,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/kilnsey,281.39,-2.04653,54.1057
Kimmeridge,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,154.4,-2.104835,50.61489
King Tor,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://sdhgpc.org.uk/sites/king-tor,461.09,-3.823875,50.619725
Kings Seat,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,328.21,-3.24962,56.481015
Kintail,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,124.96,-5.40846,57.222515
Knitson,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,176.64,-1.99473,50.62963
Knock Hill,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,410.01,-2.77698,57.58362
Knock Of Formal,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,324.08,-3.2127,56.67662
Langdales,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=GLG,534.53,-3.104655,54.4554
Langholm,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,303.84,-3.01533,55.19375
Latrigg,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=LTR,341.83,-3.1208,54.6126
Lawley,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,276.3,-2.73953,52.58052
Leavesleys Hill,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,362.96,-3.03457,52.50114
Leckhampton,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.joomla.malvern-hang.org.uk/index.php/leckhampton,264.31,-2.06652,51.86505
Liddington,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/liddington,238.35,-1.70132,51.51725
Little London,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,341.99,-3.41212,52.48875
Little Mell Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,460.54,-2.890945,54.606925
Little Wyvis,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,684.91,-4.63332,57.64492
Llanbedr,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,417.98,-3.122905,51.90815
Llandewi Brefi,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,287.92,-3.971565,52.16727
Llandinam,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,398.38,-3.42457,52.471895
Llangollen,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,371.81,-3.13631,52.95615
Llangorse,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,457.85,-3.2232,51.93855
Llantysilio,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,458.02,-3.26452,52.99828
Loadpot Hill,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,651.12,-2.84407,54.55643
Lobden,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,364.86,-2.15541,53.661275
Loch Torridon,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,291.02,-5.595895,57.56567
Lochcraig Head,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,http://www.wingbeat-paragliding.co.uk/index.php/sites/lochcraig-head,768.73,-3.3145,55.452
Lochindorb,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,413.17,-3.69412,57.40333
Lochlyock Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,463.16,-3.69897,55.58799
Long Knoll,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,245.37,-2.2909,51.13749
Long Mountain,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,352.3,-3.0631,52.67568
Long Mynd,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,http://www.longmynd.org/?page_id=284,396.99,-2.88137,52.52245
Long Mynd Black Knoll,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,383.22,-2.8957,52.494585
Longridge,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/longridge/,281.3,-2.54372,53.85948
Longstone Edge,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,347.8,-1.695635,53.25455
Lords Seat / Rushup,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/lords-seat,495.27,-1.8266357,53.3476582
Lowther,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,673.48,-3.75755,55.37818
Lumsden Law,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,468.4,-2.43517,55.34366
Magic,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,597.53,-3.14114,51.888485
Maiden Castle,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,104.04,-2.468465,50.6968
Mallerstang,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,617.05,-2.30946,54.420285
Malvern,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,329.72,-2.33935,52.07678
Mam Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/mam-tor-nw,483.94,-1.80867,53.34995
Marske,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,19.43,-1.011055,54.595635
Mauld,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,260.12,-4.66152,57.40223
Meall A Bhuachaille,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,762.13,-3.67267,57.18303
Meall A Bhuiridh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,1036.96,-4.84418,56.61175
Meall A Chaorainn,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,622.8,-5.090165,56.739475
Meall An T-Seallaidh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,614.91,-4.34837,56.36672
Meall Bhanbhaid,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,311.39,-5.091255,56.863775
Meall Donn,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,459,-4.36915,57.25252
Meall Leacachain,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,524.08,-4.9743,57.75313
Meall Monachyle,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,565.09,-4.48517,56.34988
Meall Nan Bradan Leathan,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,684.34,-4.51005,57.70198
Melmerby Low Scar,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,496.36,-2.57178,54.73657
Mendips,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,266.17,-2.73075,51.26302
Menstrie,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,316.5,-3.84355,56.15962
Mercury,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,http://skysurfingclub.co.uk/sites-guide/,223.41,-1.03855,50.97413
Mere,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,218.22,-2.272205,51.10858
Merthyr,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,412.99,-3.33597,51.72333
Mid Eildon,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,385.37,-2.70832,55.58695
Middle Of Nowhere,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,807.56,-4.318965,56.911
Middleark,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,528.39,-2.3607,54.39815
Milk Hill White Horse,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/milk-hill-white-horse,263.67,-1.85684,51.37282
Milk Massif,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/milk-hill,272.92,-1.7441,51.37321
Millington,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,TRUE,Sensitive. Flagged exclude at request of Caley Club sites officer,https://cayleyparagliding.co.uk/paragliding-at-millington/,156.22,-0.72655,53.95217
Model Ridge,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,275.38,-1.1927,54.42238
Moel Accre,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,354.82,-3.24137,53.0672
Moel Berfedd,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,https://www.snowdoniaskysports.co.uk/cms/node/10,402.31,-4.0101,53.08238
Moel Eilio,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,https://www.snowdoniaskysports.co.uk/cms/node/5,347.49,-4.14007,53.10893
Moel Famau,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,431.67,-3.25977,53.13865
Molls Cleuch Dod,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,591.74,-3.35529,55.445425
Moneylaws,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,207.67,-2.205535,55.60686
Monksdown,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/SiteGuide/MonksDown.pdf,232.22,-2.087075,50.98638
Moorfoots,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,422.35,-3.04622,55.77353
Morrone,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,851.48,-3.42837,56.98075
Moruisg,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,558.8,-5.16415,57.51735
Morven,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,598.37,-2.99882,57.12432
Mount Benger,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,http://www.wingbeat-paragliding.co.uk/index.php/sites/mountbenger,447.27,-3.09345,55.53187
Mount Caburn,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,140.71,0.050325,50.86133
Much Marcle,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.joomla.malvern-hang.org.uk/index.php/main-much-marcle,169.67,-2.53972,51.99117
Murton Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=MTP,539.55,-2.41442,54.60163
Mynydd Llysiau,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,631.89,-3.158625,51.9469
Mynydd Meio,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,306.6,-3.280885,51.586525
Myreton,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,338.63,-3.84343,56.16015
Na Cnapanan,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,662.29,-4.5118,56.96742
Nant,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,240.01,-4.459285,52.96924
Nant Y Moel,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,495.82,-3.52589,51.632525
Near Abington,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,353.23,-3.67649,55.486375
Nevis Range,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,630.66,-4.97152,56.84188
Newburgh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,103.8,-3.19452,56.35788
Newgale,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,51.66,-5.112865,51.83807
Newhaven,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,50.15,0.04792,50.782
Nont Sarahs,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/nont-sarahs/,442.36,-1.97303,53.61865
Nr Broughton,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,346.79,-3.39281,55.61485
Nr Dolgarrog,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,507.02,-3.87424,53.17441
Old Bewick,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,216.66,-1.87987,55.48752
Pandy,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,393.39,-2.99456,51.90795
Pandy Ridge,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,486.1,-3.00817,51.93762
Panorama,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,364.37,-3.13775,52.98267
Park Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,"Training site, contact Active Edge before flying https://www.activeedge.co.uk/",541.22,-2.35993,54.18967
Parlick,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/parlick/,414.71,-2.61796,53.89987
Parracombe,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,398.63,-3.87586,51.17836
Pen Dinas,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,20.93,-4.089325,52.39909
Pen Y Fan,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,722.17,-3.44538,51.88303
Pendle,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/pendle/,411.21,-2.33822,53.857325
Pendle East,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,No flying,NA,542.61,-2.29665,53.871805
Penmaen Bach,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,186.97,-3.87592,53.28425
Penycloddiau,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,392.74,-3.30875,53.2048
